nomem_encr,cf19l_m,cf19l390,cf19l391,cf19l392,cf19l393,cf19l394,cf19l395,cf19l396,cf19l397
53334,201909,1,4,4,02-09-2019,18:45:14,02-09-2019,18:49:29,255
53334,201909,3,4,1,02-09-2019,22:07:24,02-09-2019,22:17:23,599
53337,201909,3,3,3,16-09-2019,13:04:13,16-09-2019,13:06:53,160
53337,201909,4,3,3,17-09-2019,11:34:20,17-09-2019,11:45:07,647
53339,201909,1,3,2,21-09-2019,13:47:55,21-09-2019,13:51:55,240
53340,201909,NA,NA,NA,02-09-2019,12:25:47,,,NA
53341,201909,5,5,5,13-09-2019,09:25:33,13-09-2019,09:28:14,161
53342,201909,1,3,3,22-09-2019,17:08:29,22-09-2019,17:12:35,246
53344,201910,NA,NA,NA,28-10-2019,12:55:31,,,NA
53345,201909,4,5,5,08-09-2019,13:51:44,08-09-2019,13:58:12,388
53346,201909,4,4,4,11-09-2019,18:29:48,11-09-2019,18:33:47,239
53347,201909,2,2,2,02-09-2019,19:05:51,02-09-2019,19:14:48,537
53347,201909,1,3,4,20-09-2019,13:04:51,20-09-2019,13:11:31,400
53348,201909,2,4,4,13-09-2019,16:35:05,13-09-2019,16:40:14,309
53349,201909,2,2,2,23-09-2019,20:08:29,23-09-2019,20:12:21,232
53350,201909,3,4,3,02-09-2019,15:14:44,02-09-2019,15:16:55,131
53352,201910,3,3,3,07-10-2019,12:40:41,07-10-2019,12:46:57,376
53353,201909,5,5,5,03-09-2019,14:01:53,03-09-2019,14:06:31,278
53357,201909,3,4,4,04-09-2019,11:08:13,04-09-2019,11:12:59,286
53358,201909,3,3,3,06-09-2019,15:28:56,06-09-2019,15:33:15,259
53363,201909,2,4,4,02-09-2019,21:47:24,02-09-2019,21:56:30,546
53363,201909,1,5,4,02-09-2019,15:41:13,02-09-2019,15:55:24,851
53364,201909,5,5,5,24-09-2019,21:54:38,24-09-2019,21:55:06,28
53366,201909,3,3,3,18-09-2019,20:11:30,18-09-2019,20:23:16,706
53367,201909,1,5,5,05-09-2019,14:22:46,05-09-2019,14:27:04,258
53371,201909,4,4,4,15-09-2019,13:25:03,15-09-2019,13:36:26,683
53371,201909,4,4,5,03-09-2019,14:33:17,03-09-2019,14:50:09,1012
53372,201909,3,3,3,17-09-2019,20:49:39,17-09-2019,20:53:41,242
53377,201909,5,4,4,18-09-2019,20:38:14,18-09-2019,20:46:58,524
53378,201909,4,4,3,07-09-2019,11:49:03,07-09-2019,11:52:45,222
53378,201909,3,3,3,02-09-2019,19:51:39,06-09-2019,18:56:24,342285
